#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
4.4995193,2500,1110.251712
44.501514,2500,1110.251734
28.999722,2500,1110.251749
20.749521,2500,1110.251764
-3.0003464,2500,1127.102291
33.500664,2500,1127.102383
12.999836,2500,1127.102412
-3.5002954,2500,1127.102432
31.49979,2500,1127.10245
32.499825,2500,1141.773662
45.25068,2500,1141.773753
-5.0000753,2500,1141.773775
17.749516,2500,1141.773792
34.499626,2500,1141.773807
29.749664,2500,1156.181545
49.251873,2500,1156.18164
-1.5002071,2500,1156.181667
48.25155,2500,1156.181686
33.24985,2500,1156.181702
11.999514,2500,1171.084583
11.249722,2500,1171.084678
0.4996562,2500,1171.084708
28.249727,2500,1171.084727
19.99957,2500,1171.084743
3.999635,2500,1193.208274
44.75159,2500,1193.208348
0.24967717,2500,1193.208364
-13.250437,2500,1193.208375
30.249699,2500,1193.208386
-3.2503614,2500,1208.082025
16.49952,2500,1208.082108
35.00085,2500,1208.082145
30.249779,2500,1208.082168
11.999514,2500,1208.082186
17.24966,2500,1222.475433
-0.50019443,2500,1222.475521
-11.7502575,2500,1222.475538
32.74976,2500,1222.475549
47.24997,2500,1222.475559
27.749641,2500,1237.279527
13.999711,2500,1237.279619
-1.2502831,2500,1237.279635
16.74959,2500,1237.279646
12.749498,2500,1237.279657
-1.2502371,2500,1252.03297
1.499588,2500,1252.033058
-18.750309,2500,1252.033077
12.999723,2500,1252.033088
1.9996166,2500,1252.033098
27.249687,2500,1275.679736
-0.7503573,2500,1275.679822
-18.250494,2500,1275.679839
2.9998515,2500,1275.679851
3.7495377,2500,1275.679861
24.499517,2500,1290.410755
-1.0003537,2500,1290.410836
1.9996073,2500,1290.410852
12.749678,2500,1290.410873
-1.2502439,2500,1290.410883
1.4997637,2500,1305.349315
-2.5004148,2500,1305.349396
41.50094,2500,1305.349412
0.2498474,2500,1305.349423
11.749639,2500,1305.349434
25.999487,2500,1320.195703
14.24971,2500,1320.195791
14.249575,2500,1320.195809
30.249556,2500,1320.195829
-16.750273,2500,1320.195841
34.251255,2500,1342.076003
31.749979,2500,1342.076091
14.249687,2500,1342.076113
12.249553,2500,1342.076147
-3.0004058,2500,1342.076164
-18.750456,2500,1358.749373
32.99977,2500,1358.749468
-1.5004718,2500,1358.749489
33.499783,2500,1358.749504
28.2496,2500,1358.749519
19.499607,2500,1373.227722
32.499893,2500,1373.22781
24.74956,2500,1373.227826
1.7497768,2500,1373.227837
-2.000103,2500,1373.2279
18.999704,2500,1387.606917
34.49965,2500,1387.607002
-0.7502638,2500,1387.607018
1.9998777,2500,1387.607028
1.2496228,2500,1387.607038
-3.0003083,2500,1401.869265
11.999656,2500,1401.869346
0.24954699,2500,1401.869363
-2.000405,2500,1401.869375
-11.750481,2500,1401.869385
17.74957,2500,1425.146123
18.499538,2500,1425.146235
1.2496593,2500,1425.146255
15.249613,2500,1425.146267
3.2495375,2500,1425.146278
12.499657,2500,1439.387271
27.999626,2500,1439.387358
17.999691,2500,1439.387374
45.50132,2500,1439.387385
34.500595,2500,1439.387395
15.499795,2500,1453.835747
1.4996467,2500,1453.835831
10.999548,2500,1453.835847
58.500744,2500,1453.835858
-4.000148,2500,1453.835868
3.9996507,2500,1468.993767
7.9996223,2500,1468.993862
28.49965,2500,1468.993881
29.249596,2500,1468.993892
34.74967,2500,1468.993902
2.9997551,2500,1491.429066
-10.750488,2500,1491.429201
14.499525,2500,1491.429226
17.999472,2500,1491.429241
-11.250355,2500,1491.429255
-11.000171,2500,1505.90775
13.999493,2500,1505.907842
15.249601,2500,1505.907869
30.999548,2500,1505.907889
16.249487,2500,1505.907906
15.749758,2500,1520.51801
12.749445,2500,1520.518091
20.249504,2500,1520.518113
18.2498,2500,1520.518146
25.999502,2500,1520.518163
23.499487,2500,1534.678939
-3.5003526,2500,1534.679029
-2.5003679,2500,1534.679056
-12.750332,2500,1534.679075
19.74963,2500,1534.679092
-16.0005,2500,1549.068201
33.25095,2500,1549.068295
27.749563,2500,1549.068321
18.74959,2500,1549.068338
28.749693,2500,1549.068353
12.249577,2500,1573.86561
26.749603,2500,1573.865707
18.499624,2500,1573.865739
13.499754,2500,1573.865756
-3.500397,2500,1573.865771
-1.5003237,2500,1588.225507
12.99946,2500,1588.225597
14.749691,2500,1588.225614
27.49954,2500,1588.225625
-0.25004515,2500,1588.225635
22.250658,2500,1602.554727
-20.0005,2500,1602.554832
13.9994755,2500,1602.55485
32.249676,2500,1602.554862
10.999634,2500,1602.554872
27.500034,2500,1616.845122
10.999571,2500,1616.845234
32.24978,2500,1616.845251
2.999694,2500,1616.845262
-2.2503033,2500,1616.845273
-2.0001378,2500,1639.936375
16.749645,2500,1639.936473
10.49957,2500,1639.936494
43.002045,2500,1639.93651
33.750847,2500,1639.936524
12.499487,2500,1654.76484
34.75038,2500,1654.764938
18.499607,2500,1654.764964
12.249456,2500,1654.764982
12.999594,2500,1654.764997
-15.500288,2500,1669.624294
13.749519,2500,1669.624398
6.2496214,2500,1669.624422
